0,1,2,3
NGCP deploys 500 linemen to speed up power restoration after ‘Nina’,"The National Grid Corporation of the Philippines (NGCP) has deployed around 500 line personnel to the Bicol region to restore power following the devastation brought about by Typhoon Nina.

Line personnel came from NGCP’s North Luzon, South Luzon, Visayas, and Mindanao operations and maintenance groups.

The typhoon toppled 34 towers and damaged 33 transmission lines.

Initially, 100 linemen were deployed but with the extent of damage, NGCP deployed additional linemen last Dec. 26.

The additional linemen included 100 from North Luzon, 120 from South Luzon, 117 from Visayas, and 48 from Mindanao

They are working round the clock to complete restoration before the New Year.

“Apart from the line crews and equipment pre-positioned in the typhoon-affected region as part of our Integrated Disaster Action Plan (IDAP), NGCP also tapped line crews and engineers from other regions, from North Luzon to as far as Mindanao, to expedite restoration. We ask for the support and understanding of our stakeholders as they can also be assured that NGCP is doing its best to further speed up the restoration process including working over the holidays until we energize all the affected facilities,” NGCP said in a statement.",30/12/2016,https://newsinfo.inquirer.net/857947/ngcp-deploys-500-linemen-to-speed-up-power-restoration-after-nina
"‘Nina’ strongest typhoon to hit Bicol in 10 years
","TIWI, ALBAY—The sight along the highway was anything but merry a day after Christmas: Wrecked houses in pools of mud, toppled electric posts and darkness engulfing the town as evening fell.

At least 50 percent of the houses in this town of 50,000 were wrecked by Typhoon “Nina” (international name: Nock-ten) in what Mayor Jaime Villanueva described as the strongest to strike the Bicol region in 10 years.

“We felt a stronger impact than we did when Typhoon ‘Reming’ hit us in 2006,” he said, referring to the howler internationally known as Durian.

Defense Secretary Delfin Lorenzana, who flew to Virac at noon on Tuesday, said the Catanduanes capital was devastated and it would take the province five to 10 years to recover from the destruction of its coconut and abaca plantations.

President Duterte made a quick visit to Virac and Pili in Camarines Sur on Tuesday. He refused to participate in the distribution of relief goods. “That style is rotten, I do not like that,” he said.

But he promised to help the typhoon victims and urged them not to despair. “I hope you would recover your bearing,” he said.

Three more deaths were reported on Tuesday, bringing to eight the number of people killed in the typhoon that lashed the Philippines over the Christmas holidays with winds up to 235 kilometers per hour, the government said.

At least 18 others were reported missing after the MV Starlight Atlantic sank off Batangas on Monday, killing one.

Officials reported that Gregorio Tadeo, 60, was found dead in his house in Polangui, Albay; an 8-year-old boy drowned in Marinduque, and another fatality identified as Iraya Soledad Likdawan was reported in San Teodoro, Oriental Mindoro.

Power outages

Nina took out power in many eastern provinces, with energy officials unsure when electrical services would be restored, said Mina Marasigan, spokesperson for the National Disaster Risk Reduction and Management Council.

“We saw many houses destroyed by the strong winds. Infrastructure like schools and hospitals as well. We are still awaiting the exact figures of how many houses were destroyed, on the exact cost of damage,” Marasigan told reporters.

National Grid Corp. of the Philippines said it had restored nine of the 18 transmission lines downed by the typhoon. It said 10 crews had been mobilized to inspect and assess the damage.

More than 429,000 people were preemptively evacuated from their homes in vulnerable areas, official figures showed.

The typhoon had been expected to bring heavy rains and winds to Metro Manila, but it lost force as it plodded across southern Luzon. Nina had sustained winds of up to 105 kph and gusts of 130 kph when it blew into the South China Sea on Tuesday morning.

Nina was one of the strongest to hit the Philippines since Supertyphoon “Yolanda” (international name: Haiyan) left more than 7,300 people dead or missing and displaced more than 5 million in 2013.

But officials in some provinces found it difficult to convince people to abandon their Christmas celebrations and head for the shelters before the storm hit.

“Some residents just refused to leave their homes even when I warned them that you can face what amounts to a death penalty,” Cedric Daep, a top disaster official in Albay, said by phone.

Tens of thousands of villagers, forced to spend Christmas in crowded and powerless emergency shelters, started to return home on Monday to deal with the damage.

“They have left the evacuation centers and we’re seeing the sun again,” Ann Ongjoco, mayor of the town of Guinobatan in Albay, one of five provinces that lost electricity, said by phone.

Operations at Ninoy Aquino International Airport gradually returned to normal on Tuesday, a day after 364 flights were canceled.
The Civil Aviation Authority of the Philippines said some P9 million worth of damage was inflicted on the airports of Virac, Naga and Legazpi.

There is enough supply of milled rice in areas affected by Nina and stocks are ready for distribution “anytime,” according to the National Food Authority (NFA).

NFA officer in charge Tomas R. Escarez said in a statement the agency had well-stocked warehouses nationwide, especially in the regions of Bicol, Calabarzon and Metro Manila.",28/12/2016,https://newsinfo.inquirer.net/857300/nina-strongest-typhoon-to-hit-bicol-in-10-years
DOH records 13 firecracker injuries in Bicol,"LEGAZPI CITY – Thirteen firecracker blast injuries have been reported in the Bicol region since December 21 according to the Department of Health (DOH).

Jimbo Guerrero, coordinator of Aksyon Paputok Injury Reduction of DOH Bicol, said 11 were caused by piccolo, one by lusis and another by kwitis.

Guerrero said only eight incidents were recorded on December 26, compared to 25 cases in the year 2015. Five of the eight incidents were in Masbate province.

“Maybe, some areas were affected by the typhoon, and the campaign was really intensive,” he said. Based on the record, victims were aged 6 to 13.

He said starting Tuesday, they will include in the report the details on where the firecrackers, especially the illegal firecrakers used by the victims, were bought and relay the report to the Philippine National Police for proper action.",27/12/2016,https://newsinfo.inquirer.net/857093/doh-records-13-firecracker-injuries-in-bicol
Albay typhoon deaths blamed on ‘evacuation failure’,"LEGAZPI CITY – It was an “evacuation failure,” Cedric Daep, head of the Albay Public Safety and Emergency Management Office (Apsemo), said after four people were killed during the onslaught of Typhoon “Nina” (international name: Nock-ten) in the province.

“If we had no preparedness, there would be hundreds of casualties. We should blame the community for not evacuating. If they die in evacuation centers, that’s our failure,” he said.

On Saturday, based on a report of Senior Supt. Antonino Cirujales, a 57-year old identified as Espelita Bigas died after being hit by a fallen concrete wall in Balangibang village in Polangui town while a couple identified as Antonio, 73, and Teresita Calingacion, 70, drowned in Viga River of Balinad village of the same town at around 6 a.m. on Dec. 26.

At around 1 p.m., Monday, Gregorio Tadeo, 60, was found dead inside his house in San Roque village in the same town. Initial investigation of police revealed that the victim was hit by a wooden post.

On Monday, 54,053 families or 211,140 persons were decamped after Typhoon Nina left the Bicol region, except for 280 families or 1,012 persons living in Barangay Sta. Cruz of Libon, Albay.

Ian Secillano, head of Municipal Disaster Risk Reduction and Management Office of Libon, said evacuees were housed in Agos, Elementary School in Polangui, the nearby town of Libon.

“They will stay in the evacuation center probably for three days until the flooding subsides,” he said.

The flooding was caused by the overflowing Libon Bato Lake.",27/12/2016,https://newsinfo.inquirer.net/857036/albay-official-blames-typhoon-deaths-to-evacuation-failure
DSWD releases P206-M relief for ‘Nina’ victims,"The Department of Social Welfare and Development (DSWD) has released more relief goods worth P206 million to 27 typhoon-affected local government units (LGUs) sheltering about 87,000 evacuees.

As of early Monday, 20,624 families or 87,157 people were staying in 310 evacuation centers in the Mimaropa (Mindoro, Marinduque, Romblon, Palawan), Bicol and Eastern Visayas regions, according to the DSWD.

Nearly 100,000 people or about 22,000 families from 291 barangays were affected by Typhoon “Nina” (international name: Nock-ten), while 16,106 passengers remain stranded in seaports in southern Luzon and Eastern Visayas as of Monday morning, the DSWD said.

The National Disaster Risk Reduction and Management Council (NDRRMC) said 383,097 people were evacuated as a precaution.

 Enough supplies

Social Welfare Secretary Judy Taguiwalo said the DSWD was augmenting relief supplies of LGUs to ensure enough supplies for all affected families.

“Affected families who need food and nonfood items may approach their local government units because relief goods have been prepositioned with them,” she said.

The additional supplies released include 580,857 family food packs, 2,459 ready-to-eat meals, 1,585 malong, 885 mosquito nets, 885 blankets and 585 hygiene kits (so-called dignity kits).

The DSWD had prepositioned some P8 million worth of relief goods in 25 LGUs in Bicol.

DSWD personnel and volunteers are still packing food and other relief items in its national warehouse in Pasay City.

Tens of thousands flee Christmas Day typhoon in Philippines6.7K viewsNews
 Donations

The DSWD said it was accepting donations in-kind consisting of canned goods and other ready-to-eat food, bottled water, unused clothes and toiletries, blankets, tents, unused cooking utensils, mosquito nets, jerry cans, solar lamps and even unused toys.

On Monday morning, Cedric Daep, head of the  Albay Public Safety and Emergency Management Office, ordered the return to their homes of 41,903 families or 165,869 people  who fled the approaching typhoon, except those living in areas prone to flooding and landslide.

Those with damaged houses were told to remain in evacuation centers.

Rachel Miranda, spokesperson for Office of Civil Defense (OCD), said  there were 101,975 people or 21,553 families still in evacuation  centers all over the region. Earlier report from OCD revealed that at least 71,361 families or 319,838 people spent their Christmas Day in  evacuation centers during the onslaught of the typhoon.

 State of calamity

Local authorities have placed Albay and Catanduanes provinces under a state of calamity.

Albay Vice Gov. Harold Imperial said the provincial board in a special session passed a resolution allowing all government units to use 30 percent of their quick response fund.

Catanduanes Gov. Joseph Cua said on his Facebook account that  6,408 families or 29,406 people were evacuated in the towns of Bagamanoc,  Baras, Bato, Caramoran, San Andres, San Miguel, Viga and Virac. The  typhoon made landfall in Bato town on Sunday night, damaging houses and causing flash floods. The province was experiencing  power outage, which may last for at least a month.

The Department of Public Works and  Highways said the Catanduanes Circumferential Road was still impassable.

The Philippine Coast Guard  (PCG) has allowed stranded  vehicles and vessels in Sorsogon and Masbate provinces to travel after storm warnings were lifted. It said 3,152 passengers and 475 rolling  cargos had been allowed to travel from ports of Bulan, Pilar and Matnog in  Sorsogon; and 73 passengers, 22 rolling cargos, nine vessels and  two motor banca left the ports of Masbate  City, Cataingan and Placer in Masbate.
The PCG said that  as of 8 a.m. on Monday, 446 passengers remained stranded in Tabaco City port while 1,766 passengers, 56 rolling  cargos and one vessel were still in Pioduran port in Albay. Another 161  passengers in Pasacao port in Camarines Sur remained stranded.

As Nina swept across  Southern Tagalog, the regional disaster council said 2,461 families (11,737 people) were evacuated in  Cavite, Laguna, Batangas, Rizal and Quezon (Calabarzon).

In Mimaropa, 1,393 families  (3,978 people) also fled to village halls and schools to escape  possible flooding and landslides.

In Laguna, 508  families (2,138 people) were evacuated.",27/12/2016,https://newsinfo.inquirer.net/856955/dswd-releases-p206-m-relief-for-nina-victims
"More than 300,000 displaced by Typhoon Nina—NDRRMC","Over 300,000 persons were displaced from their homes due to Typhoon “Nina” (international name: Nock-Ten), the National Disaster Risk Reduction and Management Council (NDRRMC) said.

A report from the NDRRMC on Monday said that 77,560 families or 383,097 persons were preemptively evacuated from Calabarzon, Bicol Region, Mimaropa and Eastern Visayas in anticipation of the typhoon.

READ: Typhoon Nina evacuees in Bicol rise to 300,000

A total of 17,277 families or 72,869 persons were affected in 202 villages in Mimaropa and Bicol.

The powerful winds and continuous rains brought by Nina also prompted the cancellations of flights. The NDRRMC reported 86 flights cancelled and 5 re-scheduled international flights.

Power outage was also reported in 83 areas in Mimaropa and Bicol region for precautionary measures.

Mina Marasigan, NDRRMC spokesperson, said that the weather has improved in Bicol region and those stranded in ports will be allowed for sea travel.

“Open na ang ating mga ports. Makakauwi na ang mga kababayan na stranded sa mga pantalan (The ports are already open. Those stranded in ports can now go to their destinations),” she said.

Nina made eight landfalls as it continued to weaken midday Monday. It slammed Bato, Catanduanes; Sagnay, Camarines Sur; San Andres, Quezon; Torrijos, Marinduque; Verde Island, Batangas City; Tingloy, Batangas; Calatagan, Batangas; and Lubang Island.

READ: Typhoon Nina weakens after landfall in Batangas

 

It is expected to exit the Philippine landmass within the day and will leave the Philippine area of responsibility by Wednesday.",26/12/2016,https://newsinfo.inquirer.net/856740/more-than-300000-displaced-by-typhoon-nina
"Albay orders full decampment of 165,000 storm evacuees","LEGAZPI CITY, Albay—The Albay Public Safety and Emergency Management Office (Apsemo) has ordered dull decampment of 41,903 families or 165,869 persons who flee the wrath of Typhoon “Nina” (international name: Nock-en) Monday morning.

Cedric Daep, head of Apsemo, said this excludes families with damaged houses and living in areas prone to flooding and landslide who will remain inside the evacuations centers.

 

BACKSTORY: Typhoon Nina evacuees in Bicol rise to 300,000

“Those who are still prone to flooding and landslide will stay inside evacuation centers until 12 noon,” he said.

Daep said the province is now on response and recovery phase.",26/12/2016,https://newsinfo.inquirer.net/856675/albay-orders-full-decampment-of-165000-storm-evacuees
Albay placed under state of calamity in wake of ‘Nina’,"LEGAZPI CITY—The province of Albay was placed under a state of calamity after typhoon “Nina” (international name: Nock-ten) left the Bicol region Monday.

Vice Governor Harold Imperial said the provincial board, in a special session,  passed Resolution 255-2016 allowing all the local government units to utilize the 30 percent of their quick response
fund.

Based on the data of Albay Public Safety and Emergency Management Office (Apsemo), there were 41,903 families or 165,869 persons evacuated since Saturday. “Nina” left several towns flooded and houses damaged.

On Monday morning, Apsemo  ordered all concerned agencies to conduct post-disaster damage and needs assessment.",26/12/2016,https://newsinfo.inquirer.net/856646/albay-placed-under-state-of-calamity-after-nina-left-bicol
"Typhoon Nina evacuees in Bicol rise to 300,000","LEGAZPI CITY, Albay—At least 71,361 families or 319,838 persons spent their Christmas day in evacuation centers as Typhoon “Nina” (international name: Nock-Ten) brought howling winds and dumped rains in Bicol region.

Based on the report of Office of Civil Defense (OCD) Bicol, 42,859 families or 171,652 persons were evacuated in Albay while 372 families or 1,244 persons in Camarines Norte were displaced. 23,980 families or 106,378 persons in Camarines Sur, 6,408 families or 29,406 persons in Catanduanes, 2,199 families or 10,796 in Sorsogon and 59 families or 362 persons in Masbate also had to leave their homes.

 

READ: Typhoon ‘Nina’ pounds Bicol

Nina made its 2nd landfall in Sagñay, Camarines Sur around 9:30 p.m. on Sunday, after making landfall in Bato, Catanduanes at 6:30 p.m., leaving some provinces flooded and undetermined number of houses damaged.

READ: ‘Nina’ makes second landfall in Camarines Sur

The OCD Bicol is still coordinating with different local disaster offices on the damages brought by the typhoon",26/12/2016,https://newsinfo.inquirer.net/856611/typhoon-nina-evacuees-in-bicol-rise-to-300000
Typhoon ‘Nina’ pounds Bicol,"Packing peak winds of 185 kilometers per hour, Typhoon “Nina”  (internationally named Nock-ten after a bird found in Laos) pounded the Bicol region on Sunday night, sending thousands of coastal residents fleeing to evacuation centers, stranding travelers on ports and buses and spoiling Christmas celebrations in endangered regions.

Officials warned 2.5-meter high waves and landslides posed the biggest threats as Nina closed in on the eastern section of Luzon and nearby islands.

“We went around with megaphones and gave instructions to our people to eat breakfast, pack and board the military trucks,” said Alberto Lindo, an official of Alcala, a farming village of 3,300 people near the active Mayon volcano.

“There are large ash deposits on the slopes. Heavy rain can dislodge them and bury our homes in mud,” he said.

Philippine and international weather services said Nina was set to hit Catanduanes on Sunday night before reaching the rest of the main island of Luzon on Monday.

LEAVING HOME ON CHRISTMAS Residents of Daraga, Albay province, are  given a ride in the back of a truck after heavy and incessant rains brought by Typhoon “Nina” (international name: Nock-ten) drive them to evacuate to higher ground. —AFP
LEAVING HOME ON CHRISTMAS Residents of Daraga, Albay province, are given a ride in the back of a truck after heavy and incessant rains brought by Typhoon “Nina” (international name: Nock-ten) drive them to evacuate to higher ground. —AFP

Inquirer reporter Fernan Gianan reported from the Catanduanes capital of Virac that heavy rain was hammering the area and strong winds had felled trees in the city center. “We can see lightning flashes every 10 seconds or so, we must be near the eye of the typhoon,” he said.

The US Joint Typhoon Warning Center has forecast sustained winds of 231 kph and gusts of 278 kph when Nina makes landfall.

The typhoon will affect an area populated by nearly 42 million people, including Metro Manila, which was forecast to be hit on  Monday.

Executive Director Ricardo Jalad of the National Disaster Risk Reduction and Management Council (NDRRMC) said P879 million worth of stockpiled food and nonfood items and standby funds, care of the social welfare department, were ready to be utilized if needed.

The preposition of relief and nonrelief goods in warehouses of the Department of Social Welfare and Development (DSWD) was also continuing in the Calabarzon and Mimaropa regions. The DSWD field office in Calabarzon said it had sent  33,355 family food packs worth P9 million to Batangas, Laguna and Quezon.

The NDRRMC also received first reports of preemptive evacuations in Bicol, with the regional police office saying that 2,200 families or 9,221 people are seeking shelter in 125 evacuation centers.

The Philippine Coast Guard said 11,668 travelers spent Christmas marooned in seaports since midnight Saturday. The PCG grounded  971 roll-on, roll-off buses in 48 vessels and six motor bancas were prevented from sailing due to rough seas.

Most stranded passengers were in ports in Albay, Sorsogon, Catanduanes, Masbate, Camarines Sur and in Allen, Samar.

The PCG headquarters had already sent three additional M35 trucks, one small truck, 15 rubber boats and seven teams of special operations group to Bicol region. PCG officer in charge Commodore Joel Garcia also said that the BRP Tubbataha and the BRP Pampanga have been readied to transport relief goods to Bicol.

For people in Nina’s path, Christmas meant leaving home and eating “noche buena” in evacuation centers.

 

Potluck of relief goods

At midnight on Christmas Day, most evacuees from Barangay Maninila in Guinobatan town in Albay, housed at Guinobatan East Central School, were asleep. There were no songs, no gift-giving and no games, the way they had wanted and planned it to be.

Others who were awake had a simple celebration over a potluck of relief goods.

“Some of the evacuees just slept through Christmas Eve. Each family was given 3 kilos of uncooked pasta noodles and rice at around 7 p.m.,” said Norlito Lebantino, 40. “If we were in Maninila, we would have been a lot merrier because we have a Christmas village socials night there.”

Lebantino was with his seven kids and shared a room with 17 other families.
Officials said the typhoon affected 48,458 families, or 226,168 persons, in Bicol.

Virac Mayor Sammy Laynes said some residents had refused to leave their homes despite the threat of storm surge. Power was cut at 3 p.m. in the entire island province as a precaution. As of Sunday afternoon, authorities had evacuated 1,602 families, or 6,957 people, from 26 villages.

The provincial government estimated 14,160 individuals or 3,160 families more living in 59 barangays were living in respective evacuation centers.

For Benilda Loma, 58, from Orosite village in Legazpi City, spending Christmas Eve inside the evacuation center in Ibalon Central School with her nine children and grandchildren was just an ordinary day.

For noche buena, they had rice paired with pork adobo and fish (kusido). She said the barangay officials gave them a piece of round cheese bread. “We ate dinner at around 5 p.m., and that’s our noche buena,” she said.

 ‘Pray to God to spare us’

Despite the experience, Loma is still optimistic for Christmas. “It’s OK because I am with my family. We don’t need to be sad, instead, pray to God to spare us,” she added.

The Albay disaster council ordered early closure of business establishments. It was targeting at least 40,000 persons for evacuation due to the threat of flooding, landslide, strong winds and storm surges, according to Cedric Daep.",26/12/2016,https://newsinfo.inquirer.net/856581/typhoon-nina-pounds-bicol
