0,1,2,3
Large trucks needed for Typhoon Nona relief operations,"MANILA, Philippines – Typhoon Nona relief teams need your help as they prepare to deliver relief goods and temporary shelter assistance to devastated areas in Albay, Sorsogon, Occidental and Oriental Mindoro, and Northern Samar.

The National Disaster Risk Reduction and Management Council (NDRRMC) is asking for assistance to source large trucks to bring goods to these typhoon-devastated areas.

Fourteen-wheeler trucks are needed, according to Usec Alexander Pama, NDRRMC executive director. These trucks should be able to cross flood waters and should be with drivers. Gas will be provided, Pama said.

 Embedded video

Voltaire Tupaz
✔
@VoltaireTupaz
 .@NDRRMC_OpCen needs large trucks to deliver shelter and relief goods to areas affected by #NonaPH @agos @MovePH 

7
7:33 PM - Dec 18, 2015
See Voltaire Tupaz's other Tweets
Twitter Ads info and privacy
On Friday, December 18, President Benigno Aquino III declared a state of national calamity in the aftermath of the typhoon which inflicted extensive damage and casualties in several areas in the country.

The proclamation seeks to ""hasten the rescue, recovery, relief, and rehabilitation efforts"" of the government and the private sector.

Response cluster member agencies such as DSWD are coordinating relief operations.

Businesses, civic groups, and volunteers are asked to check in with the NDRRMC located at Camp Aguinaldo if they can lend the needed equipment.

Alert OCD-NDDRMC via landline or mobile phone if you wish to help:

Landline:

(02) 911-1292
(02) 911-1230
(02) 911-1183

Mobile phone:

09282588676

Here are other ways to extend help: #ReliefPH: Help typhoon victims

Agos, powered by EBayanihan, continues to source relevant and actionable information via its Agos Alert Map (agos.rappler.com) for decision-making and responder use. ",18/12/2015,https://www.rappler.com/move-ph/issues/disasters/116416-needed-large-trucks-typhoon-nona-relief-operations
Nona' now a severe tropical storm,"MANILA, Philippines (UPDATED) – Severe Tropical Storm Nona (international name Melor) intensified further on Sunday morning, December 13, as it threatens the Samar and Bicol areas .

As of 8 am, Sunday, state weather bureau PAGASA located the center of Nona 530 km East of Borongan, Eastern Samar, with maximum sustained winds of 95 kilometers per hour (k/h) near the center and gustiness of up to 120 k/h.

Estimated rainfall amount is from moderate to heavy.

PAGASA raised public storm warning signal number 1 over the Samar provinces. Affected areas are expected to experience the following:

Very light or no damage to low risk structures
Light damage to medium to high risk structures
Slight damage to some houses of very light materials or makeshift structures in exposed communities. Some banana plants are tilted, a few downed and leaves are generally damaged.
Wigs of small trees may be broken
Rice crops may suffer significant damage when they are in their flowering stage
Nona is expected to hit land in Northern Samar on Monday either in the afternoon or evening.

According to independent local weather organization Weather Philippines, Nona is expected to continue moving west-northwest during the next 24 hours, bending more toward the west throughout the outlook period.

Nona is forecast to intensify into a typhoon Sunday and will continue to gain strength in the next 24 hours, Weather Philippines added.

Photo from Weather Philippines

Photo from Weather Philippines

According to Palace Communications Secretary Herminio Coloma Jr, the NDRRMC has already conducted pre-disaster risk assessment to ensure that concerned government agencies are prepared for Severe Tropical Storm Nona. 

""At mayroon ding pananaw ang ating NDRRMC sa pamumuno ni Usec. Alexander Pama na...‘yung bagyo at ulan ay magdudulot ng karagdagang suplay sa tubig na kailangan din naman natin para harapin ‘yung hamon ng El Niño,"" Coloma added.

(NDRRMC Usec. Alexander Pama expects the rain and typhoon will bring in enough supply of water the country needs to overcome the challenges of El Niño.)

The public and the disaster risk reduction and management councils concerned are advised to take appropriate actions and wait for the next weather bulletin.",13/12/2015,https://www.rappler.com/nation/special-coverage/weather-alert/115828-20151213-nona-melor-morning-update
Bishop calls for more troops in Bicol to stop poll violence,"LEGAZPI CITY, Philippines – Bishop Joel “Bong” Baylon of the Diocese of Legazpi on Thursday, October 15, called for the increased presence of government security forces in the Bicol region to ensure peaceful elections.

“We call on the law enforcers to intensify their campaign against loose firearms and to dismantle the presence of private armed groups in Bicol,” Baylon said.

Baylon said intervention by the police and the military is needed following cases of political violence in previous elections, a call that echoes appeals in other areas plagued by the presence of private armies. (READ: Bishop to Aquino: Stop Samar killings before polls)

A mayoral candidate in Albay's Malinao town – former Makati City engineer Nelson Morales – was gunned down by an alleged private armed group in 2012. It was the first known case of election violence in the 2013 midterm elections.

The presence of private armed groups are feared in the provinces of Masbate, Camarines Sur, and Camarines Norte. These areas have consistently been under tight watch.

Masbate was repeatedly placed under the control of the Commission on Elections because of election violence. In 1989, Masbate City Mayor Moises Espinosa was killed by alleged inmates and jail officers from the Masbate Provincial Jail. In 1991, Masbate Representative Jolly Fernandez was gunned down allegedly by inmates from the same correctional facility.

The region will be among the most-watched areas in the coming 2016 polls because of the participation of 4 Bicolano politicians in the vice presidential polls. It is a challenge for local politicians in the region that has been known for bloc voting for fellow Bicolanos.

Church efforts

Baylon has committed the local church's participation in educating Bicol voters and ensuring that the elections will be peaceful and orderly.

“We will organize these [activities] in every city and municipality in the province where candidates can come together, present their plans to the public, and debate on issues that matter to their respective communities,” he said.

The local Diocesan Commission on Social Concerns and Social Action Center also launched the PPCRV Albay-Election Operation and affirmed its commitment to assist Comelec.

PPCRV or the Parish Pastorical Council for Responsible Voting is the nationwide election watchdog organized by leaders of the Catholic Church. It establishes voters assistance desks and monitoring on election day. Volunteers are also deployed in polling centers to assist voters and board of election inspectors.

“Consistent with our HOPE (honest, orderly and peaceful elections) advocacy, we are campaigning against vote buying and selling, political dynasties, and election-related violence,"" Baylon said in a pastoral letter.

""We are also introducing grassroots communities to the concept of and venues for people’s participation in good governance,” he added.",16/10/2015,https://www.rappler.com/nation/politics/elections/109441-bicol-armed-groups-election-violence
Surge of party list nominations expected on last day,,15/10/2015,https://www.rappler.com/nation/politics/elections/2016/109419-surge-party-list-nominations
Will De Lima be Senate's next Miriam Santiago?,"MANILA, Philippines – She was the dauntless head of the human rights commission and the justice department but does Leila de Lima have what it takes to be the next Senator Miriam Defensor Santiago?

De Lima raised the question as she formalized her Senate bid on Thursday, October 15. Her candidacy for the May 2016 polls marks the first time she is running for public office.

The former justice secretary known for ordering controversial investigations into corruption and criminal cases said people compare her to Santiago, the Senate's resident legal expert known as the Iron Lady of Asia.

“I am often asked if I will be the next Miriam Santiago of the Senate,” De Lima said. “How I wish, but I beg to disagree.”

“First, I have yet to win any election. Second, there is only one Miriam Defensor Santiago, and she cannot be replaced. But I will surely attempt to be a good student, and learn from the veteran of so many political battles.”

De Lima paid tribute to Santiago as she delivered the keynote address at the Philippine Judges Association conference at the Marriott Hotel in Pasay. City Santiago also attended the event, where she was inducted into the group's Hall of Fame. (READ: Miriam Santiago: Senators dream of becoming president)

The former justice secretary addressed the gathering before filing her senatorial candidacy at the Commission on Elections office in Manila.

De Lima said she is honored to be compared to the popular and multi-awarded Santiago.

“Senator Miriam is probably the first role model of a fearless lady public servant under the present 5th Republic of the Philippine nation. We can probably say that she is the one who started the tradition of strong women in government when she 'ate death threats for breakfast' as commissioner of immigration,” De Lima said in reference to a famous Santiago line.

While she praised Santiago, De Lima is supporting the candidacy of administration standard-bearer former interior secretary Manuel “Mar” Roxas II. Santiago is running for president, up against Roxas, opposition leader Vice President Jejomar Binay, and independent Senator Grace Poe.

De Lima, 56, resigned from the justice department last week to run for senator under the ruling Liberal Party's 12-member senatorial ticket.

She was one of the key women leaders in the Aquino government, along with Chief Justice Maria Lourdes Sereno, Ombudsman Conchita Carpio-Morales, former Commission on Audit Chairperson Grace Pulido-Tan, and Internal Revenue Commissioner Kim Henares.

FIRST RUN. Former justice secretary Leila de Lima files her candidacy for Senator at the COMELEC office in Manila on Thursday, October 15, 2015. Photo by Jansen Romero/Rappler 

FIRST RUN. Former justice secretary Leila de Lima files her candidacy for Senator at the COMELEC office in Manila on Thursday, October 15, 2015. Photo by Jansen Romero/Rappler

Also an 'uragon'
In her first speech as “citizen and candidate Leila,” De Lima outlined her plans for the Senate, focusing on the rule of law and fighting corruption.

“Ang rule of law ay ang paghahari ng batas at hindi tao (The rule of law is the reign of the law and not the person). We need a new offensive against corruption and the corrupt. We must strengthen mechanisms against ill-gotten wealth,” she said.

“'Di na puwedeng pairalin ang pagiging mabait sa mga kurakot sa bayan (We cannot be kind to the corrupt).Filipinos are forgiving and forgetful to a fault. The result is impunity,” De Lima added.

The former Cabinet member took pride in her department's investigation into the pork barrel corruption scam that sent top lawmakers to jail, the closure of illegal mining operations, and probe into price manipulation and cartels.

If she wins, De Lima said she will support two bills: the New Criminal Code, and the Criminal Investigation Act.

She drew loud applause from a crowd of judges and justices when she said she will push for a law giving them hazard pay, and permanent security details. Judges and justices have been gunned down in the course of their work.

In an interview, De Lima said she stands on her record as a former election lawyer, chairperson of the Commission on Human Rights, and justice secretary.

Like 4 vice presidential candidates, De Lima hails from the Bicol region, in Iriga, Camarines Sur. The 4 vice presidential candidates from Bicol are Senators Francis Escudero, Gregorio Honasan II, Antonio Trillanes IV, and Camarines Sur Representative Leni Robredo. The vaunted Bicol vote is expected to be divided among the 4.

De Lima said there are many “uragon,” a positive term referring to Bicolanos.

“It's a source of pride among Bicolanos that we have some personalities who are vying for the vice presidential position. I'd like to think that I can count on them in the same manner that they supported former and sitting senators,” she said.

De Lima is also banking on the backing of women, students, and professional groups like lawyers and judges.

The secretary said it was important to elect strong women leaders.

“That is certainly great for the country, women empowerment. Indeed our country is advanced compared to other countries and even in Asia. The Philippines has been gaining ground in terms of gender equality, women empowerment and the best proof is so many women now are vying for positions, even the highest post of the land,"" she said.

'INC sees I was doing my job'

De Lima said she will reach out to all types of voters, including members of the religious group Iglesia ni Cristo (INC).

She drew the ire of the politically influential INC when she ordered the investigation into allegations of kidnapping of expelled church members. In August, thousands of INC members held a 3-day protest stalling Metro Manila traffic to protest the move. The group holds sway in elections due to the bloc vote of its 1.37 million members. (READ: Why De Lima is a target of Iglesia ni Cristo's anger)

“I'd like to believe that by now, they understand my side. They have a perspective and so did I. It so happened we had different views. Maybe after two months, they see that I was just doing my job,” De Lima said.

The former secretary said she knows that she angered many people because of her work.

“The ultimate judge are really the sovereign voters, and so I just stand by my own persona. But do I have a choice? I shouldn't have accepted this post if I keep thinking about repercussions.”

She is now adjusting to being a senatorial candidate.

“'Di nga po ako pulitiko so 'di ko iniisip ang mga ganoon (I am not a politician so I do not think of what others will say).""",15/10/2015,https://www.rappler.com/nation/politics/elections/2016/109410-de-lima-next-miriam-santiago
23 groups file nominations for party list,"MANILA, Philippines (UPDATED) – A total of 23 organizations filed their nomination and acceptance certificates for the party list as of Tuesday, October 13, before the Commission on Elections.

Around 200 groups earlier sought accreditation before the election commission this year. They are in addition to some 160 groups that have already been accredited in past elections.

The party list is a system of proportional representation meant to better represent marginalized sectors as well as groups lacking ""well-defined constituencies."" Republic Act 7941 or the Party-List System Act allocates 20% of the total seats in the House of Representatives to party-list representatives.

This week marks the filing of certificates of nominations and acceptance for party-list groups that are already accredited or have pending accreditation petitions.

The following groups have filed their respective manifestations of intent to participate in the 2016 polls, the equivalent of an individual's candidacy certificate:

ABS Partylist
ACT-CIS
Anakpawis
Butil Partylist
COOP NATCO
Mindanao Alliance for Reform (MAR)
Global Workers and Family Federation Inc
1 CARE Partylist
Cancer Partylist
Witness Partylist
Abyan Ilonggo
Manila Teachers Savings and Loan Association Inc
Abante Bicol Oragon Philippines Inc
Angkla: Ang Partido ng mga Pilipinong Marino Inc
Women and Child Crime Abuse Assistance
Aasenso sa Barangay
Ating Koop
A TEACHER Partylist
Partido Manggagawa
Bumaka
Coalition of Senior Citizens
BISDAK
Piston
Reversal of ruling

In 2013, the Supreme Court (SC) reversed its earlier ruling on the party-list system that participation was limited to those who belonged to the marginalized sectors.

In its analysis of the intent of the party-list law, the SC ruled that original intention of the law was to create a system of proportional representation for groups and parties of different kinds and not just the marginalized. The SC ruled that this interpretation was in keeping with the Constitution. (READ: SC shakes up party list in new verdict)

Organizations participating in the party list can now either represent the ""marginalized and underrepresented” or those who lack ""well-defined political constituencies.”

Sectors that lack “well-defined political constituencies” include professionals, the elderly, women, and the youth.

Marginalized and underrepresented sectors, on the other hand, include labor, peasant, fisherfolk, urban poor, indigenous cultural communities, handicapped, veterans, overseas workers, and other similar sectors.

With the 2013 ruling, nominees of party-list groups do not necessarily have to be from the sector they represent, as long as the nominees have a ""track record of advocacy for their respective sectors.""

This has opened the door to more traditional representatives or even politicians who claim to possess this track record to obtain a seat in Congress.",12/10/2015,https://www.rappler.com/nation/politics/elections/2016/109010-party-list-accreditation
Who is running in Bicol | 2016 Elections,"MANILA, Philippines – This page lists the names of politicians who have filed their certificates of candidacy in Bicol.

Up for grabs are these positions in the following provinces:

Albay: 3 congressional, 1 gubernatorial, 1 vice gubernatorial, 10 provincial board, 3 city mayoral, 3 city vice mayoral, 30 city council, 15 municipal mayoral, 15 municipal vice mayoral, 120 municipal council
Camarines Norte: 2 congressional, 1 gubernatorial, 1 vice gubernatorial, 10 provincial board, - city mayoral, - city vice mayoral, 20 city council, 12 municipal mayoral, 12 municipal vice mayoral, 96 municipal council
Camarines Sur: 5 congressional, 1 gubernatorial, 1 vice gubernatorial, 10 provincial board, 2 city mayoral, 2 city vice mayoral, city council, 35 municipal mayoral, 35 municipal vice mayoral, 280 municipal council seats
Catanduanes: 1 congressional, 1 gubernatorial, 1 vice gubernatorial, 8 provincial board, 11 municipal mayoral, 11 municipal vice mayoral, 88 municipal council
Masbate: 3 congressional, 1 gubernatorial, 1 vice gubernatorial, 10 provincial board, 1 city mayoral, 1 city vice mayoral, 10 city council, 20 municipal mayoral, 20 municipal vice mayoral, 160 municipal council
Sorsogon: 2 congressional, 1 gubernatorial, 1 vice gubernatorial, 10 provincial board, 1 city mayoral, 1 city vice mayoral, 12 city council, 14 municipal mayoral, 14 municipal vice mayoral, 112 municipal council
Check out the list of candidates in the following places:

1. Albay

Bacacay
Camalig
Daraga (Locsin)
Guinobatan
Jovellar
Legazpi City
Libon
Ligao City
Malilipot
Malinao
Manito
Oas
Pio Duran
Polangui
Rapu-Rapu
Santo Domingo (Libog)
Tabaco City
Tiwi
2. Camarines Norte

Basud
Capalonga
Daet
Jose Panganiban
Labo
Mercedes
Paracale
San Lorenzo Ruiz (Imelda)
San Vicente
Santa Elena
Talisay
Vinzons
3. Camarines Sur

Baao
Balatan
Bato
Bombon
Buhi
Bula
Cabusao
Calabanga
Camaligan
Canaman
Caramoan
Del Gallego
Gainza
Garchitorena
Goa
Iriga City
Lagonoy
Libmanan
Lupi
Magarao
Milaor
Minalabac
Nabua
Naga City
Ocampo
Pamplona
Pasacao
Pili
Presentacion (Parubcan)
Ragay
Sagnay
San Fernando
San Jose
Sipocot
Siruma
Tigaon
Tinambac
4. Catanduanes

Bagamanoc
Baras
Bato
Caramoran
Gigmoto
Pandan
Panganiban (Payo)
San Andres (Calolbon)
San Miguel
Viga
Virac
5. Masbate

Aroroy
Baleno
Balud
Batuan
Cataingan
Cawayan
Claveria
Dimasalang
Esperanza
Mandaon
Masbate City
Milagros
Mobo
Monreal
Palanas
Pio V Corpuz (Limbuhan)
Placer
San Fernando
San Jacinto
San Pascual
Uson
6. Sorsogon

Barcelona
Bulan
Bulusan
Casiguran
Castilla
Donsol
Gubat
Irosin
Juban
Magallanes
Matnog
Pilar
Prieto Diaz
Santa Magdalena
Sorsogon City (Bacon)",11/10/2015,https://www.rappler.com/nation/politics/elections/2016/108866-candidates-region-5-philippines
VP bet Leni Robredo comes home to Naga,"NAGA CITY, Philippines – For the first time since she was declared the vice presidential bet of the Liberal Party, Congresswoman Leni Robredo came home to Naga City in Camarines Sur on Wednesday, October 7.

“Help me in this walk,” she told provincial, city, municipal, barangay leaders and supporters from all walks of life gathered at the Naga city hall covered court that afternoon.

Help me campaign not just in Camarines Sur, not just in the Bicol region, but across the country, through people you know, she told them.

“This fight is not the fight of our province or our region alone but of the Filipino people who believe in honest, transparent, good governance and leadership,” she said in the dialect. Behind her was a huge yellow tarpaulin that said, ""Laban Leni: Bikolano. Filipino. Pusong Robredo.""

It could very well be the Bicolanos’ fight. Robredo is one of the 3 or 4 politicians from the bloc-voting region who are running for vice president. She points out, however, that she’s the only one among them who was born, who grew up, and who studied in Bicol, specifically in Naga City.

It will be the fight of ordinary folks, of the neglected sectors, whose causes Robredo had championed over the years, even without the media’s attention. (READ: 8 things to know about Leni Robredo)

‘Louder voice in Malacañang’

FARMERS' CHAMPION. Leni Robredo is known for often visiting farmers, even if she has to walk long distances. She has initiated several irrigation projects in her district in two years. Photo by Rhaydz Barcia/Rappler 

FARMERS' CHAMPION. Leni Robredo is known for often visiting farmers, even if she has to walk long distances. She has initiated several irrigation projects in her district in two years. Photo by Rhaydz Barcia/Rappler

Charlie Capresio, national president of a group representing fisherfolk, said he had witnessed Robredo’s help for the sector. She had provided legal services to fishermen in the 3rd district of Camarines Norte, and worked for infrastructure they needed most.

“In just two years of her incumbency, she looked after our needs. She built a dike that would protect us from natural disasters. That was long forgotten by previous leaders here,” he said.

He feels that Robredo would defend their rights against the powerful. “If she wins, we might have louder voices in the Malacañang,” Capresio said.

Ed Yu, spokesman for the regional office of the National Irrigation Administration, knows how Robredo personally checks on the needs of her constituents. She visits them as often as possible, even in far-flung areas, where it is necessary to walk long distances.

“[She travels] by foot even under the heat of the sun, without any protection like umbrella or a hat. She walks fast without any complaint for several hours. She doesn’t want special treatment. She eats whatever food is available in the villages,” Yu said.

“In just a span of two years, a lot of changes and development have been noted in her district. She’s a silent worker, not after the publicity. Many of our politicians went to areas with big crowds, but Congresswoman Leni is different. She usually goes to the outskirts, even without people accompanying her, to check out ongoing projects,” the NIA official said.

Just before she decided to accept the Liberal Party’s offer to be the running mate of Manuel “Mar” Roxas II, Robredo led the groundbreaking and turnover of P48.3-million worth of irrigation projects in Pili and Ocampo towns. The projects will irrigate 853 hectares and benefit at least 555 farmers.

Leni Robredo was just following the example of her late husband Jesse, longtime mayor of Naga, who went around in slippers, always accessible to his constituents, and planning and implementing programs with the people.

During those years, Leni was a practicing lawyer, representing women and other marginalized sectors for free.

Offer made on Peñafrancia feast day

In her speech, Robredo mentioned a date significant to any Catholic Bicolano.

She said Roxas offered to field her as running mate on September 19, on the feast day of Our Lady of Peñafrancia.“The post was offered to me on the feast day of Ina.”

This, she said in Bicolano, triggered all her prayers and may have finally made her daughters give their blessings to her vice presidential bid.

“Three days before the proclamation, which was set on Monday (October 5), my daughters finally gave me the green light. So, Sunday, I announced it to the brothers of my husband and to my family,” Robredo said.

Robredo said that when she accepted the offer, she thought that this might be her chance to do much more for the country, for her region that had long been neglected by leaders.

“This might be the time that attention is given to the Bicol region – to improve our railway system, to develop and establish our airports and road network,” she said.

“But I have a plea: that if you’re going to support me, please give your complete support to my president, Mar Roxas.”

She got that guarantee, at least from those who welcomed her home, at Naga’s city hall – they whom she considered “my strength aside from my family.”",10/10/2015,https://www.rappler.com/nation/politics/elections/2016/108766-vp-leni-robredo-comes-home-naga
Villafuertes back Grace Poe-Leni Robredo ticket,"NAGA CITY, Philippines – Camarines Sur Governor Miguel “Migz” Villafuerte and his father, former Governor Luis Raymund “LRay” Villafuerte, reiterated their support for the presidential bid of Senator Grace Poe, but clarified that the backing will not extend to her running mate, Senator Francis “Chiz” Escudero.

Instead the Villafuertes will support for vice president their province mate and ally, Camarines Sur 3rd District Representative Leni Robredo. (READ: Realignments start in Robredo's Camarines Sur)

“I’ll be frank. 'Though I have a heavy heart – because senators Antonio Trillanes, Bongbong Marcos, and Alan Peter Cayetano are my friends and mentors – I will be supporting the candidacy of my kababayan. We will support Leni Robredo. So it’s Grace and Leni in Camarines Sur,” the young governor said on Tuesday, October 6, during Poe's visit.

The Villafuertes invited Poe to grace the World Teacher’s Day celebration in Camarines Sur and meet the key political players in the province. The senator, in turn, expressed gratitude to the Villafuertes for embracing her candidacy. (READ: In Photos: Stars, politicians, ordinary folks turn up for Grace Poe)

It is not clear who the clan patriarch, former Representative Luis Villafuerte Sr, will be supporting. He had a falling out with his son and grandson in 2013, and fielded his wife against Robredo then.

Camarines Sur has the biggest voters' population among the 6 provinces in the Bicol region – 40% of the region's voters – followed by Albay.

“I will do everything to make Poe win in Camarines Sur,” Governor Villafuerte said.

He said 24 out of 35 municipal mayors in the province are supporting Poe's candidacy against Robredo's standard-bearer, the Liberal Party's Manuel Roxas II.

Miguel and LRay belong to the Nacionalista Party, while Poe is an independent who is awaiting the endorsement of the Nacionalist People's Coalition.

'Gifted people'

Speaking before a crowd of around 12,000, composed mostly of public school teachers and political supporters at Jesse M. Robredo Coliseum, Poe said she admired for having remarkable and intelligent political leaders with untainted reputations.

She cited as examples the late Senator Raul Roco and the late Interior Secretary Jesse Robredo, husband of the Liberal Party's vice presidential candidate.

“Bicol is gifted with intelligent people and political leaders like late senator Raul Roco and late DILG Secretary Jess Robredo. That’s why today 4 of the vice presidentiables are Bicolano senators: Chiz Escudero, my running mate, Antonio Trillanes, Gregorio Honasan, and Representative Leni Robredo,” Poe said. (READ: Bicol: A 'cradle' of VP candidates)

Although she acknowledged that the famed Bicol bloc vote will be divided now, Poe said it was good that voters are being given many options. She nevertheless pushed for Escudero, who is from Sorsogon.

“For me, we’re giving our people the opportunity to choose. Senator Chiz, I think, has proven himself. Then Congresswoman Leni Robredo is also a capable candidate. Senator Antonio Trillanes has also proven his competence, then Senator Gringo Honasan,” she said. ",06/10/2015,https://www.rappler.com/nation/politics/elections/2016/108334-villafuertes-back-grace-poe-leni-robredo
Bicol a ‘cradle’ of VP candidates,"MANILA, Philippines – With Camarines Sur Representative Leni Robredo formally announcing her bid for the vice presidency, Senate President Pro-Tempore Ralph Recto said that the Bicol region is becoming a “cradle” of vice presidential candidates.

“Sa unang pagkakataon, mas maraming ‘vice presidentiable’ na magmumula sa Bicol sa taong ito kesa sa bagyo,” said Recto in a statement on Monday, October 5, making references to the Bicol's location as a typhoon belt. (For the first time, there are more vice presidential candidates than typhoons coming from Bicol this year.)

""It is becoming the cradle of VPs. National leaders are becoming its major export. Bicol is punching above its weight,” the senator added.

On Monday morning, Robredo ended the weeks-long courtship of the Liberal Party (LP) by declaring that she will be the running mate of the party’s standard-bearer, Manuel “Mar” Roxas II.

Before throwing her hat into local politics, Robredo took over as LP’s chairman in Camarines Sur following the death of her husband, former Interior Secretary Jesse Robredo, in August 2012.

She then ran for Congress in 2013 as LP members believed only Robredo’s candidacy could topple the influential Villafuerte dynasty in Camarines Sur’s 3rd district.

Senator Antonio “Sonny” Trillanes IV, who formally announced on Saturday that he will run for vice president, hails from Albay, where his late father grew up. The senator and his group Magdalo will be supporting the presidential bid of Senator Grace Poe.

Poe’s running mate, Senator Francis “Chiz” Escudero, also comes from Bicol. He was a former representative of Sorsogon, where his father, former Agriculture Secretary Salvador “Tatay” Escudero, was a veteran politician.

Meanwhile, Senator Gringo Honasan II, another Bicol native, is expected to accept the offer to be the vice presidential candidate of his party, the United Nationalist Alliance. He will be the running mate of Vice President Jejomar Binay.

“If Gringo will join the fray, Leni will be the 4th Bicolano to throw her hat into the vice presidential ring. Batangueno Sonny Trillanes’ mom is from Bicol, which makes him an oragon,” said Recto, using a Bicolano slang word referring to a person of excellence and someone who is feisty and brave.

“Like a sili (chili), the presence of Bicol stalwarts will add spice to the vice presidential contest. As they share the same homeland, I foresee a friendly but fierce contest among kababayans (those coming from the same region).”

The 'age' of Bicolanos

This is the first time in the country’s political history wherein Bicolanos have been chosen by various presidential aspirants as their running mates.

The Bicol region, commonly known as opposition country, is noted for its bloc voting history with more than 3 million registered voters as of July 2015.

Escudero, Honasan, Robredo, and Trillanes will be facing Senator Alan Peter Cayetano, who is eyeing a tandem with Davao Mayor Rodrigo Duterte, and Senator Ferdinand “Bongbong” Marcos Jr, who announced late Monday that he will run for vice president too.

Cayetano is an adopted Albayano because his wife, Taguig Mayor Lani Cayetano, is a native of Tiwi town in Albay.

“It means this is the age of Bicolanos,” said Honasan.

Trillanes, meanwhile, thinks having Bicolanos as vice presidential candidates is good for the region.

“Ano man ang mangyari, maganda ito [para] sa Bicol region dahil mayroon at maroon mananalo from the region at hopefully this time, mabibigyan na talaga ng attention ang Bicol region para ‘di na siya napagiiwanan,” he said.

(Whatever happens, this is good for the Bicol region because it’s likely that someone will win from the region for vice president. Hopefully this time, due attention would be given to the Bicol region so it will not be left behind.)

Good luck

Recto wished Robredo, Escudero, Honasan, and Trillanes good luck “as they wage the good fight.”

“They, including Alan and Bongbong, are all eminently qualified for the post they are seeking,” said the senator.

“I am sure that their frank exchange of views and presentation of respective platforms will enlighten the public on the challenges that face the nation, show us the way forward, and elevate the quality of public discourse,” Recto added.",05/10/2015,https://www.rappler.com/nation/politics/elections/2016/108197-recto-bicol-cradle-vice-president-candidates
